DexNum,Name,DexCondition1,NumToComplete1,DexCondition2,NumToComplete2,TypeQualifier2,IsAttacker2,DexCondition3,NumToComplete3,TypeQualifier3,IsAttacker3,DexCondition4,NumToComplete4,TypeQualifier4,IsAttacker4,DexCondition5,NumToComplete5,TypeQualifier5,IsAttacker5,DexCondition6,NumToComplete6,TypeQualifier6,IsAttacker6,DexCondition7,NumToComplete7,TypeQualifier7,IsAttacker7,DexCondition8,NumToComplete8,TypeQualifier8,IsAttacker8,DexCondition9,NumToComplete9,TypeQualifier9,IsAttacker9
149,Drapion,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Ground-type moves,5,Ground,FALSE,Times you've seen it use Venoshock,25,Poison,TRUE,Times you've seen it use Cross Poison,40,Poison,TRUE,Times you've stunned it by using items,10,,FALSE,Times you've seen it use a strong style move,25,,FALSE,,,,FALSE
150,Growlithe,Number caught,25,Number you've caught without being spotted,10,,FALSE,Number you've caught while they were sleeping,1,,FALSE,Number defeated,15,,FALSE,Number defeated with Water-type moves,10,Water,FALSE,Times you've seen it use Fire Fang,25,Fire,TRUE,Times you've given it food,5,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE
154,Machop,Number caught,15,Number of heavy specimens you've caught,7,,FALSE,Number defeated,40,,FALSE,Number you've defeated with Flying-type moves,25,Fighting,FALSE,Times you've seen it use Rock Smash,25,Fighting,TRUE,Times you've seen it use a strong style move,25,,FALSE,Times you've stunned it by using items,5,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE
155,Machoke,Number caught,15,Number defeated,40,,FALSE,Number you've defeated with Psychic-type moves,10,Psychic,FALSE,Times you've seen it use Bullet Punch,25,Grass,TRUE,Times you've seen it use a strong style move,15,,FALSE,Times you've stunned it by using items,5,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
156,Machamp,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Fairy-type moves,3,Fairy,FALSE,Times you've seen it use Bulk Up,25,,FALSE,Times you've seen it use Close Combat,40,Fighting,TRUE,Times you've seen it use a strong style move,70,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE
157,Chatot,Number caught,15,Number caught during daylight hours,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Electric-type moves,10,Electric,FALSE,Times you've seen it use Air Cutter,25,Flying,TRUE,Times you've seen it use an agile style move,40,,FALSE,Times you've given it food,5,,FALSE,,,,FALSE,,,,FALSE
158,Duskull,Number caught,25,Number caught at night,10,,FALSE,Number you've caught without being spotted,20,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Ghost-type moves,10,Ghost,FALSE,Times you've seen it use Hex,25,Ghost,TRUE,Times you've scared it off with a Scatter Bang,5,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE
159,Dusclops,Number caught,15,Number caught at night,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Ghost-type moves,20,Ghost,FALSE,Times you've seen it use Dark Pulse,25,Dark,TRUE,Times you've seen it use Shadow Ball,40,Ghost,TRUE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
160,Dusknoir,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,5,,FALSE,Number you've defeated with Dark-type moves,5,Dark,FALSE,Times you've seen it use Dark Pulse,25,Dark,TRUE,Times you've seen it use Shadow Ball,40,Ghost,TRUE,Times you've seen it use a strong style move,70,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE
163,Empoleon,Number caught,5,Number defeated,5,,FALSE,Number you've defeated with Fighting-type moves,3,Fighting,FALSE,Times you've seen it use Hydro Pump,40,Water,TRUE,Times you've seen it use Wave Crash,40,Water,TRUE,Times you've seen it use a strong style move,40,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE,,,,FALSE
164,Mantyke,Number caught,15,Number of small specimens you've caught,7,,FALSE,Number you've caught without being spotted,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Electric-type moves,10,Electric,FALSE,Times you've seen it use Water Pulse,25,Water,TRUE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
165,Mantine,Number caught,15,Number of large specimens you've caught,7,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Electric-type moves,20,Electric,FALSE,Times you've seen it use Air Slash,40,Flying,TRUE,Times you've seen it use Double-Edge,25,Normal,TRUE,Times you've seen it use an agile style move,25,,FALSE,,,,FALSE,,,,FALSE
169,Ninetails,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Water-type moves,3,Water,FALSE,Times you've seen it use Flamethrower,25,Fire,TRUE,Times you've seen it use Fire Blast,40,Fire,TRUE,Times you've seen it use an agile style move,15,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
170,Tentacool,Number caught,15,Number of light specimens you've caught,7,,FALSE,Number you've caught without being spotted,10,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Electric-type moves,20,Electric,FALSE,Times you've seen it use Bubble,25,Water,TRUE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
171,Tentacruel,Number caught,15,Number of alpha specimens caught,3,,FALSE,Number you've caught without being spotted,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Electric-type moves,10,Electric,FALSE,Times you've seen it use Poison Jab,25,Poison,TRUE,Times you've seen it use Hydro Pump,40,Water,TRUE,Times you've seen it use an agile style move,70,,FALSE,,,,FALSE
172,Finneon,Number caught,15,Number you've caught without being spotted,10,,FALSE,Number caught at night,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Grass-type moves,10,Grass,FALSE,Times you've seen it use Bubble,25,Water,TRUE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE
173,Lumineon,Number caught,15,Number you've caught without being spotted,10,,FALSE,Number caught at night,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Electric-type moves,10,Electric,FALSE,Times you've seen it use Silver Wind,40,Bug,TRUE,Times you've seen it use an agile style move,40,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
175,Magmar,Number caught,15,Number defeated,15,,FALSE,Number you've defeated with Water-type moves,20,Water,FALSE,Times you've seen it use Flamethrower,40,Fire,TRUE,Times you've seen it use Fire Blast,25,Fire,TRUE,Times you've stunned it by using items,10,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
177,Magnemite,Number caught,15,Number of light specimens you've caught,5,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Ground-type moves,10,Ground,FALSE,Times you've seen it use Thunder Shock,25,Electric,TRUE,Times you've seen it use Thunder Wave,25,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
180,Bronzor,Number caught,25,Number of large specimens you've caught,7,,FALSE,Number you've caught without being spotted,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fire-type moves,10,Fire,FALSE,Times you've seen it use Confusion,25,Psychic,TRUE,Number you've seen leap out of ore deposits,15,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE
181,Bronzong,Number caught,15,Number of heavy specimens you've caught,7,,FALSE,Number of alpha specimens caught,1,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Ghost-type moves,25,Ghost,FALSE,Times you've seen it use Flash Cannon,25,Steel,TRUE,Times you've seen it use Extrasensory,25,Psychic,TRUE,Times you've seen it use a strong style move,40,,FALSE,,,,FALSE
183,Electabuzz,Number caught,15,Number defeated,15,,FALSE,Number you've defeated with Ground-type moves,20,Ground,FALSE,Times you've seen it use Thunder Punch,40,Electric,TRUE,Times you've seen it use Thunder,25,Electric,TRUE,Times you've stunned it by using items,10,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
184,Electivire,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Ground-type moves,3,Ground,FALSE,Times you've seen it use Thunder Wave,25,,FALSE,Times you've seen it use Thunder Punch,40,Electric,TRUE,Times you've seen it use a strong style move,40,,FALSE,Times you've stunned it by using items,3,,FALSE,,,,FALSE
185,Gligar,Number caught,15,Number you've caught without being spotted,10,,FALSE,Number defeated,40,,FALSE,Number you've defeated with Ice-type moves,20,Ice,FALSE,Times you've seen it use Mud Bomb,25,Ground,TRUE,Times you've stunned it by using items,8,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE
186,Gliscor,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Water-type moves,3,Water,FALSE,Times you've seen it use Mud Bomb,25,Ground,TRUE,Times you've seen it use X-Scissor,40,Bug,TRUE,Times you've seen it use a strong style move,70,,FALSE,Times you've stunned it by using items,5,,FALSE,,,,FALSE
187,Gible,Number caught,25,Number of heavy specimens you've caught,7,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Ice-type moves,10,Ice,FALSE,Times you've seen it use Twister,25,Dragon,TRUE,Times you've seen it use Slash,40,Normal,TRUE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE
188,Gabite,Number caught,10,Number defeated,10,,FALSE,Number you've defeated with Dragon-type moves,3,Dragon,FALSE,Times you've seen it use Dragon Claw,25,Dragon,TRUE,Times you've stunned it by using items,8,,FALSE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,3,,FALSE,,,,FALSE,,,,FALSE
189,Garchomp,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Fairy-type moves,3,Fairy,FALSE,Times you've seen it use Dragon Claw,40,Dragon,TRUE,Times you've seen it use Outrage,40,Dragon,TRUE,Times you've stunned it by using items,10,,FALSE,Times you've seen it use a strong style move,100,,FALSE,Number of different forms you've obtained,2,,FALSE
190,Nosepass,Number caught,25,Number of heavy specimens you've caught,10,,FALSE,Number you've caught without being spotted,25,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Grass-type moves,10,Grass,FALSE,Times you've seen it use Iron Defense,25,,FALSE,Number you've seen leap out of ore deposits,15,,FALSE,Number you've evolved,1,,FALSE,Investigate an old saying about Nosepass's handiness,1,,FALSE
191,Probopass,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,5,,FALSE,Number you've defeated with Ground-type moves,3,Ground,FALSE,Times you've seen it use Power Gem,25,Rock,TRUE,Times you've seen it use Earth Power,40,Ground,TRUE,Times you've seen it use a strong style move,70,,FALSE,Times you've stunned it by using items,10,,FALSE,,,,FALSE
192,Voltorb,Number caught,25,Number of heavy specimens you've caught,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fire-type moves,20,Fire,FALSE,Times you've seen it use Spark,40,Electric,TRUE,Times you've scared it off with a Scatter Bang,7,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
198,Mismagius,Number caught,10,Number of alpha specimens caught,1,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Dark-type moves,3,Dark,FALSE,Times you've seen it use Hex,40,Ghost,TRUE,Times you've seen it use Power Gem,40,Rock,TRUE,Times you've stunned it by using items,5,,FALSE,Times you've seen it use an agile style move,40,,FALSE,,,,FALSE
201,Clefable,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number caught at night,25,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Poison-type moves,3,Poison,FALSE,Times you've seen it use Psychic,25,Psychic,TRUE,Times you've seen it use Moonblast,40,Fairy,TRUE,Times you've seen it use an agile style move,15,,FALSE,,,,FALSE
206,Glalie,Number caught,25,Number of heavy specimens you've caught,10,,FALSE,Number of alpha specimens you've caught,3,,FALSE,Number defeated,40,,FALSE,Number you've defeated with Steel-type moves,25,Steel,FALSE,Times you've seen it use Ice Fang,40,Ice,TRUE,Times you've seen it use Crunch,25,Dark,TRUE,Times you've seen it use a strong style move,15,,FALSE,Times you've stunned it by using items,5,,FALSE
213,Piloswine,Number caught,15,Number of heavy specimens you've caught,7,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Grass-type moves,20,Grass,FALSE,Times you've seen it use Ancient Power,25,Rock,TRUE,Number of different forms you've obtained,2,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE
214,Mamoswine,Number caught,10,Number of alpha specimens caught,3,,FALSE,Number defeated,5,,FALSE,Number you've defeated with Fire-type moves,5,Fire,FALSE,Times you've seen it use High Horsepower,25,Ground,TRUE,Times you've seen it use Blizzard,40,Ice,TRUE,Times you've seen it use a strong style move,70,,FALSE,Times you've stunned it by using items,5,,FALSE,Number of different forms you've obtained,2,,FALSE
216,Avalugg,Number caught,15,Number of heavy specimens you've caught,7,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fighting-type moves,25,Fighting,FALSE,Times you've seen it use Mountain Gale,40,Ice,TRUE,Times you've seen it use Blizzard,25,Ice,TRUE,Times you've seen it use a strong style move,40,,FALSE,,,,FALSE,,,,FALSE
217,Snover,Number caught,25,Number of large specimens you've caught,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fire-type moves,10,Fire,FALSE,Times you've seen it use Powder Snow,25,Ice,TRUE,Number of different forms you've obtained,2,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
218,Abomasnow,Number caught,15,Number of alpha specimens caught,1,,FALSE,Number defeated,25,,FALSE,Number you've defeated with Fire-type moves,20,Fire,FALSE,Times you've seen it use Blizzard,25,Ice,TRUE,Times you've seen it use Wood Hammer,40,Grass,TRUE,Times you've seen it use an strong style move,70,,FALSE,Number of different forms you've obtained,2,,FALSE,,,,FALSE
219,Zorua,Number caught,25,Number caught at night,20,,FALSE,Number defeated,10,,FALSE,Number you've defeated with Dark-type moves,10,Dark,FALSE,Times you've seen it use Snarl,40,Dark,TRUE,Times you've given it food,10,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
220,Zoroark,Number caught,10,Number defeated,5,,FALSE,Number you've defeated with Dark-type moves,10,Dark,FALSE,Times you've seen it use Bitter Malice,40,Ghost,TRUE,Times you've seen it use Nasty Plot,25,,FALSE,Times you've stunned it by using items,10,,FALSE,Times you've seen it use an agile style move,70,,FALSE,,,,FALSE,,,,FALSE
221,Rufflet,Number caught,25,Number of light specimens you've caught,10,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Electric-type moves,10,Electric,FALSE,Times you've seen it use Air Slash,25,Flying,TRUE,Times you've seen it use Roost,15,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE
223,Riolu,Number caught,15,Number you've defeated with Flying-type moves,10,Flying,FALSE,Times you've seen it use Rock Smash,25,Fighting,TRUE,Times you've given it food,5,,FALSE,Times you've stunned it by using items,10,,FALSE,Number you've evolved,1,,FALSE,,,,FALSE,,,,FALSE,,,,FALSE
224,Lucario,Number caught,15,Number of alpha specimens caught,1,,FALSE,Number defeated,15,,FALSE,Number you've defeated with Fire-type moves,10,Fire,FALSE,Times you've seen it use Aura Sphere,70,Fighting,TRUE,Times you've seen it use Close Combat,40,Fighting,TRUE,Times you've seen it use an agile style move,70,,FALSE,Times you've stunned it by using items,20,,FALSE,,,,FALSE
